ZIP,total_evs,total_charging_stations,median_income,evs_per_station
98070,883.0,3.0,83.93590734,220.75
98422,876.0,2.0,78.96291322,292.0
98407,865.0,5.0,73.59356725,144.16666666666666
98366,863.0,6.0,53.19469848,123.28571428571429
98466,857.0,2.0,61.63783576,285.6666666666667
98134,854.0,26.0,124.1677966,31.62962962962963
98684,849.0,34.0,54.89723975,24.257142857142856
98101,837.0,65.0,136.1487959,12.681818181818182
98204,822.0,9.0,41.44696073,82.2
98277,811.0,17.0,51.65114102,45.05555555555556
98506,791.0,0.0,59.31559322,791.0
98801,770.0,24.0,58.22573652,30.8
98665,763.0,5.0,55.71355219,127.16666666666667
98387,746.0,1.0,49.1788878,373.0
98292,726.0,1.0,68.31823417,363.0
98282,725.0,2.0,76.21212938,241.66666666666666
99223,724.0,22.0,77.07888502,31.47826086956522
98371,720.0,13.0,63.42349624,51.42857142857143
98043,716.0,3.0,50.43196262,179.0
98271,703.0,17.0,53.82908012,39.05555555555556
98230,681.0,4.0,66.51190476,136.2
98584,678.0,9.0,47.61692094,67.8
98201,672.0,13.0,48.82305901,48.0
98406,660.0,3.0,62.6668251,165.0
98664,658.0,2.0,65.32660287,219.33333333333334
98248,652.0,0.0,56.74976393,652.0
98498,644.0,0.0,57.32576832,644.0
99338,640.0,22.0,88.75874363,27.82608695652174
98311,639.0,1.0,55.26428571,319.5
99203,635.0,4.0,77.67582524,127.0
98338,633.0,1.0,59.34859574,316.5
98375,632.0,3.0,59.35129274,158.0
98372,629.0,12.0,62.48025248,48.38461538461539
99362,622.0,24.0,56.56001171,24.88
98837,620.0,7.0,49.86220204,77.5
98383,601.0,9.0,64.26772685,60.1
98010,598.0,0.0,85.51789883,598.0
98250,596.0,12.0,79.55097087,45.84615384615385
98908,591.0,8.0,74.45622394,65.66666666666667
99224,582.0,36.0,67.91862069,15.72972972972973
98273,570.0,15.0,51.6762634,35.625
98373,565.0,3.0,55.90183946,141.25
98022,549.0,4.0,65.69076774,109.8
98660,541.0,11.0,55.24105058,45.083333333333336
98632,539.0,6.0,49.93344879,77.0
98274,532.0,1.0,61.26936115,266.0
98014,525.0,1.0,95.65538922,262.5
98597,521.0,0.0,49.79803719,521.0
98445,513.0,0.0,46.63938953,513.0
99337,513.0,6.0,60.81568025,73.28571428571429
98467,511.0,0.0,65.09696093,511.0
98002,501.0,6.0,40.28285164,71.57142857142857
98404,495.0,2.0,37.01678674,165.0
98926,493.0,14.0,52.71144781,32.86666666666667
99354,490.0,56.0,63.43546454,8.596491228070175
99336,490.0,13.0,44.49226277,35.0
98802,480.0,7.0,53.28397874,60.0
98362,473.0,14.0,52.15739535,31.533333333333335
98409,460.0,23.0,37.38974122,19.166666666666668
98039,456.0,0.0,538.6402778,456.0
98321,451.0,0.0,64.04135338,451.0
98499,450.0,6.0,45.02174248,64.28571428571429
99206,448.0,7.0,50.14164589,56.0
98405,448.0,13.0,40.61243731,32.0
99163,445.0,23.0,54.01559356,18.541666666666668
99353,441.0,0.0,73.59441997,441.0
98606,440.0,0.0,84.73883721,440.0
98233,433.0,12.0,50.8650838,33.30769230769231
98826,428.0,17.0,59.27784257,23.77777777777778
98663,423.0,7.0,50.77595712,52.875
98310,411.0,1.0,45.51126126,205.5
99019,411.0,17.0,91.19515152,22.833333333333332
99016,409.0,7.0,64.47993421,51.125
98346,409.0,2.0,69.54013158,136.33333333333334
98531,408.0,8.0,42.57386254,45.333333333333336
98024,407.0,1.0,107.8971193,203.5
98284,402.0,2.0,49.8862782,134.0
98444,384.0,2.0,35.50862553,128.0
98922,383.0,5.0,65.82684825,63.833333333333336
98245,382.0,5.0,89.75811518,63.666666666666664
98329,377.0,0.0,62.37885117,377.0
99212,370.0,8.0,49.23105381,41.111111111111114
98264,366.0,2.0,61.97684675,122.0
98239,364.0,2.0,66.68259587,121.33333333333333
98532,363.0,9.0,54.58206465,36.3
98260,363.0,3.0,78.83468635,90.75
98236,361.0,0.0,75.27481752,361.0
98294,359.0,2.0,51.90590278,119.66666666666667
98424,316.0,2.0,54.37641129,105.33333333333333
98629,316.0,0.0,73.75674931,316.0
99205,315.0,4.0,39.61264904,63.0
98674,314.0,0.0,57.14086799,314.0
